preco,taxa,km/l,km
7995,145,25,20715
21995,145,21,6616
16995,145,26,55828
11995,145,28,51769
19995,145,20,18205
8995,145,28,50789
8295,145,25,37015
14698,145,23,10367
10498,0,25,47620
14495,145,25,27407
8995,20,26,36199
15995,20,29,47636
10995,125,25,42648
19995,200,19,22531
8295,30,26,55978
7995,20,29,91177
19995,150,20,25749
9995,0,33,49492
13495,145,20,1658
12995,145,24,12580
12995,145,26,15741
12998,145,23,27747
10298,125,25,45559
10498,0,28,81431
11298,150,32,60962
10698,125,26,91552
15995,145,26,16898
6995,160,19,81754
13950,145,25,10783
10650,150,28,51177
7995,125,23,33313
11495,0,32,48119
16995,145,23,52880
11995,145,28,50844
10995,125,22,22194
20495,145,20,19367
19995,145,29,17579
19995,145,16,16369
10995,0,32,49766
18995,145,22,3687
11995,125,22,37770
16998,125,26,21929
7398,125,23,56617
11498,145,25,28498
13998,145,25,16024
16698,145,26,7310
9998,0,33,61731
12998,20,29,41647
9998,160,19,29491
12498,145,26,15028
14998,145,25,11479
10498,20,26,67595
16995,145,16,5955
15495,145,26,9012
9495,0,28,27822
5995,20,30,69195
7498,30,24,76550
11798,0,28,6859
10998,145,28,16295
14998,150,20,27404
8998,145,23,20524
13998,20,29,40065
17998,145,18,14590
18998,145,17,5298
9198,200,19,77458
14498,145,23,44278
14998,150,18,52321
8498,125,23,35225
13995,145,25,17912
18498,145,18,23240
13998,145,26,21567
12798,145,25,17006
14698,145,25,12669
7698,30,25,17125
12498,145,23,16451
9998,20,27,45897
13998,125,26,83319
9500,0,25,11829
8195,145,20,19684
21498,150,13,8616
17998,145,18,31422
14498,145,23,19187
9998,20,29,27333
7998,125,23,25862
10998,145,26,42886
10998,145,27,30803
9998,0,32,42485
5498,30,23,86172
9298,0,28,41024
7298,0,28,50467
8498,0,32,83132
17698,145,23,18058
14498,145,26,37588
12898,145,23,24570
7998,0,32,66456
12198,145,21,12863
9698,145,23,48613
8798,0,28,31889
14298,145,23,70356
15798,145,25,7297
10298,145,28,14722
4898,30,25,36386
10298,0,32,24961
9998,0,28,32745
16698,145,17,4899
8998,125,23,8422
8998,125,26,45639
12498,125,22,19705
12498,145,28,28836
34498,145,18,7440
9298,145,19,26989
10900,145,26,40972
9998,125,23,38484
12998,150,28,15934
10998,125,22,24150
15500,145,18,31532
16200,145,25,37058
10500,20,27,21855
13200,20,29,51499
18698,145,26,24728
16998,145,34,12752
9998,145,28,17254
9498,145,23,41745
17498,145,25,5254
15998,145,18,17775
17998,145,22,402
5698,145,20,72261
9998,20,26,35407
17298,145,23,7343
16998,145,24,19692
23998,145,17,12205
6498,0,28,66947
12498,145,23,16694
4998,0,28,127621
11498,30,24,20892
11298,0,32,39245
9298,30,27,29304
12998,145,23,15765
14498,145,27,15173
18498,125,24,49130
8498,30,24,67225
8298,0,28,25223
8498,0,32,75991
12998,150,25,25880
16998,145,26,16859
9998,0,28,26791
13698,150,23,66718
13998,125,22,7620
9498,125,23,38697
15984,145,22,10461
8489,160,19,96866
9995,0,33,43452
8498,0,28,52365
13498,150,23,58491
8998,20,26,70204
9998,200,19,94146
17498,145,23,25313
9998,145,28,12701
11990,145,20,39791
16899,145,34,11265
15984,145,22,5633
15984,145,22,7242
15984,145,22,6437
13998,145,29,7868
17994,150,23,33206
17489,165,22,77147
19899,145,23,45866
4699,30,23,136794
9949,125,23,37015
11498,145,24,16085
10898,30,24,20320
12998,145,24,11780
13498,145,21,37649
9998,20,29,20812
18998,150,27,35801
11798,150,21,8900
11798,150,21,7387
8498,0,28,45832
8998,200,20,109266
14799,145,26,10057
14799,145,26,13776
42489,145,9,5633
17498,145,19,15997
16498,145,26,7934
19698,145,18,19330
8498,125,23,37100
16998,200,18,28307
14998,145,25,11265
19999,145,26,5633
20999,145,20,8851
14998,145,26,11265
14998,145,25,11265
13998,145,29,8047
13898,145,26,53150
11498,0,28,13776
19698,145,18,26631
10498,0,32,79638
17498,145,23,23446
12498,145,23,96803
11498,145,26,14722
10998,0,28,21803
22998,140,20,11808
8498,125,23,10701
11998,150,26,12376
11898,150,21,5465
11498,145,25,25373
13298,145,25,11827
9698,20,29,59320
10498,145,29,95753
10998,125,26,27949
9598,145,27,23179
16998,145,26,33228
13498,145,25,21486
6998,125,23,56011
15498,125,26,61337
9949,145,27,44094
12998,145,29,3951
20799,200,20,83686
38489,145,13,5633
9489,145,27,56998
13949,145,21,19283
10990,145,24,45284
13489,145,23,56013
7994,20,29,103983
11489,145,26,31648
15699,150,27,28163
19998,145,32,6437
19489,145,32,8047
14998,145,25,11265
9199,30,27,42559
10489,20,29,42559
11489,145,27,4702
29998,145,12,4828
31498,145,10,10058
11999,145,26,10768
15990,145,24,15266
16998,145,17,14006
15489,145,29,9070
22489,145,24,13235
22489,145,24,6437
5998,0,33,89959
10998,145,26,45063
11498,160,20,58020
24999,570,10,67731
15298,125,26,55801
19498,145,21,35515
16998,145,26,32084
13998,145,26,7815
11298,165,19,2248
13398,145,20,34841
17798,145,18,16649
14998,145,27,24076
13998,205,18,57436
9189,145,19,51496
10399,145,28,11587
23899,145,20,43687
5330,30,23,107724
15985,145,22,8206
7485,125,23,17851
21999,145,12,9656
10850,150,28,38035
23250,145,16,15982
7999,0,28,36424
7999,145,25,15055
7999,200,20,125802
9699,20,26,21694
39998,145,10,8047
8500,125,23,24237
9998,0,28,30436
15995,145,26,11253
11495,145,28,28592
14698,145,25,14041
9998,0,28,10976
9498,200,20,47196
10698,0,25,18081
13499,145,23,62261
15999,145,23,24148
17299,145,23,22891
14198,150,25,32517
10898,125,22,21071
17298,150,21,2308
5998,165,19,71748
9998,30,27,89513
6998,30,25,34123
16698,145,29,39426
17298,145,26,5028
15498,125,26,50007
14298,145,23,10211
9998,20,29,42065
22998,145,20,954
11598,145,26,18755
10498,145,28,28215
8698,160,19,58136
17498,200,18,21819
12499,145,29,20921
9250,145,20,12572
16250,145,29,45243
9999,150,22,38833
10999,150,26,38581
18494,145,16,19084
13489,145,21,43129
6995,0,28,56462
11995,150,28,19441
10498,145,28,15483
11300,145,26,21404
11800,145,27,22569
10800,145,26,28434
8300,0,28,69396
18499,145,18,23628
6800,30,24,86100
17000,145,19,24966
8998,0,33,26878
5698,30,23,83512
8998,160,19,33230
14998,145,23,61486
18500,145,23,22035
19298,145,17,19774
10798,160,20,80449
15998,145,26,20437
7298,0,28,59063
10298,150,23,40254
10698,0,28,26562
13998,145,25,9474
8298,145,23,102206
8998,0,32,58076
11298,30,24,17891
10498,30,27,27676
8995,145,23,86904
7895,0,28,44323
18390,145,18,23628
7795,145,25,15549
10795,20,26,36575
18298,145,32,10089
7698,20,30,15623
17698,145,23,29089
16998,145,23,40048
12698,145,24,4947
10698,0,33,35632
9998,205,19,70711
14498,150,23,9717
8998,0,28,32633
11998,20,29,24618
14000,150,25,18388
16250,150,22,4749
9700,0,28,45361
9998,200,18,62167
10998,30,27,22790
15498,125,24,44604
5489,20,29,66215
18999,145,23,15603
8449,145,20,127339
8699,30,26,74094
10489,20,29,61110
12489,145,27,58570
13698,145,27,126552
18498,145,29,34065
7298,0,32,58162
9998,145,26,22307
17498,145,23,36112
18999,125,22,68397
9489,145,22,47476
20994,145,21,65983
11998,145,29,10435
6250,30,23,63123
5950,0,32,103524
10900,0,32,21465
11200,20,25,24335
9250,20,26,62026
10300,145,28,15356
13000,145,21,5840
7000,0,32,132957
9200,0,28,34216
24995,150,23,16130
8298,0,28,36884
9298,20,29,67105
16698,145,26,30090
23698,145,30,8052
20398,145,32,10031
9698,0,28,32000
17998,145,17,22103
13698,145,25,19685
9998,20,26,34187
7298,125,23,50062
5698,20,29,103468
8998,150,23,109524
12998,150,28,37337
12498,30,27,41521
20990,145,13,8208
29999,145,13,161
15489,145,29,9070
15998,145,34,7242
19999,145,26,5633
8489,0,32,98780
9490,145,24,4847
12490,125,22,18173
6490,150,25,31036
14790,205,18,53675
12498,0,32,28965
18998,150,29,18633
9598,20,29,47599
10498,145,32,44585
7998,125,23,30579
9998,30,27,63505
16250,145,32,21444
18450,145,23,23277
9950,145,26,30936
9950,145,18,1458
9950,145,18,4056
9950,145,18,1925
8498,0,28,31268
5998,30,25,111170
9998,145,23,60447
9998,20,26,5077
16998,150,26,22862
16998,145,26,48913
11198,145,23,67127
14498,150,34,23039
7998,125,23,34530
9998,0,28,33284
17998,145,32,19356
6498,20,30,59106
19998,145,12,14093
8698,30,27,46140
10698,0,33,33862
13698,145,23,6796
13498,145,25,14495
8498,125,23,18438
6298,30,23,64283
11698,150,21,5758
13998,150,23,34065
8498,145,20,51460
13998,145,25,16333
14498,125,24,81053
11950,145,25,26841
11395,145,24,2243
15990,145,24,15266
10990,145,24,45284
18489,145,23,16658
9489,145,22,47476
9795,0,33,6698
15995,125,26,37396
18495,145,16,12809
11995,145,32,16983
9998,145,28,37195
14998,145,26,12799
8000,125,23,23210
18498,145,26,34091
7998,125,23,34514
12498,145,25,12780
8498,20,26,72832
5298,0,28,87781
9998,20,26,46286
7498,30,24,50442
15998,125,26,40066
16998,150,18,73795
8698,125,23,30215
15998,145,21,16715
8998,125,23,33003
9998,125,22,52117
10698,145,24,17358
20450,150,16,1925
11495,150,29,63173
9750,20,29,48533
18495,145,23,19085
14950,145,25,15599
17295,145,27,18866
16250,145,32,17746
4998,30,25,45580
8698,0,28,38355
11298,145,28,22169
10898,145,26,22611
11698,160,20,54859
5998,30,24,84595
9998,145,20,26581
19998,145,26,7411
14998,145,25,19438
6998,125,26,73161
10498,160,19,40174
12298,240,17,82242
9498,145,23,102777
11990,145,22,88747
7490,0,28,46417
13698,145,25,17799
10498,20,26,63632
10798,165,19,5877
15998,125,26,47744
8998,0,32,78986
9298,125,26,99436
10698,30,27,48097
17498,150,23,50047
13998,150,23,25524
14998,145,26,13298
8298,0,28,21111
9698,0,28,30989
7798,125,23,17840
13498,145,25,16335
9690,0,32,74313
16498,20,29,29782
11495,145,28,18469
8000,160,19,47767
11400,125,25,83011
8250,145,27,53099
10998,145,25,19827
12998,145,23,6367
6698,0,28,62767
15998,145,27,16233
6498,30,23,34253
12998,145,32,27853
18998,145,18,16451
8498,125,23,17382
6998,30,23,68360
9498,205,19,104153
11698,150,21,5607
19300,145,30,4760
16890,145,18,37602
9420,0,32,55062
15390,145,26,8595
15370,145,26,10841
9230,0,32,44115
6990,145,25,18029
15591,20,29,73064
12891,145,23,26000
10447,145,23,13417
8998,145,23,115638
5998,30,24,59639
11998,145,32,45861
4298,30,25,49339
7498,20,26,58680
7998,150,20,35607
9498,20,26,29216
19498,145,23,37449
13698,145,23,55252
11498,145,22,71009
20498,200,20,47196
16998,145,27,22108
8998,0,32,52291
18998,145,29,26252
13898,145,25,23654
13498,145,25,32811
11998,145,28,14429
8298,20,29,90577
11698,30,27,19512
14998,145,26,13501
17498,145,22,17738
17498,145,32,11843
16998,145,32,13932
10498,20,29,31437
15698,145,21,1482
6998,0,33,78758
15498,125,26,11959
8498,20,26,51457
7998,160,19,28624
4698,30,23,84695
11998,145,25,17654
10998,200,20,52057
8998,0,32,82598
9298,125,23,9999
10998,30,24,44481
5298,30,23,104008
14498,20,29,26556
6798,0,28,60049
6998,30,23,53356
9798,145,24,21184
9798,125,22,28313
9698,20,26,21551
9498,20,29,51301
11798,145,25,22182
11698,145,25,29153
9998,30,24,56295
9698,0,32,48520
12698,0,32,15263
10498,20,29,29370
7798,0,28,24803
19798,145,27,7720
19998,145,27,3944
16498,145,25,37375
19998,145,22,11071
9298,145,23,73294
18298,145,32,4571
10998,145,25,17654
13498,145,23,14344
12698,125,22,23941
14998,145,26,4831
20998,145,18,9265
8998,125,23,19574
14998,145,26,9207
9998,0,32,43763
15998,145,23,18443
11298,125,25,107394
15998,20,29,26216
14498,200,18,51922
10998,145,28,26318
18998,145,27,18890
7498,125,23,38244
12998,20,29,66762
10798,145,28,32575
4198,30,25,73837
16998,145,21,9804
18998,145,18,19172
19498,145,18,31192
11698,0,28,16898
9498,20,26,39778
11498,150,21,9910
10998,150,28,3798
16998,150,26,31096
16998,150,23,29741
9298,145,23,84782
6998,30,23,46824
12698,0,32,12723
9498,0,32,36081
9798,0,32,30148
11298,20,27,37591
8998,125,23,55955
12998,160,19,26232
16798,20,29,25180
9998,20,29,27890
8198,0,28,38256
10698,145,28,11251
10698,20,26,18458
4998,30,23,87424
29998,145,9,33550
5998,20,29,101155
16498,145,26,4725
7498,0,38,66419
10498,20,26,39817
16298,145,24,17225
13298,30,27,18609
10498,30,27,47772
7298,125,23,33489
11998,145,24,16608
15498,145,26,23463
7798,145,25,19943
10698,145,24,12136
11498,30,27,10248
14698,145,25,16145
14698,145,25,13580
11498,145,32,43898
8998,0,28,31997
13998,145,25,10351
7498,20,29,89016
5998,0,28,82636
11998,30,28,48222
19498,145,17,15160
9591,145,22,34176
15450,145,26,9223
7991,20,26,86779
6150,30,23,49993
7542,145,25,15900
7324,0,28,43658
11498,125,25,95918
8998,0,33,19011
8998,125,23,49177
11498,145,26,40980
16498,145,32,22046
14798,145,25,20210
13798,145,25,15847
10998,0,32,23582
11298,20,26,4291
15998,145,27,15601
14998,145,26,12867
7498,30,27,77264
6498,160,19,53358
6998,0,33,78874
11798,0,32,24811
12998,145,23,15960
10998,145,28,26808
10498,145,26,46240
13498,145,22,20308
12998,145,25,27513
10298,145,24,37512
12698,145,24,12781
16498,145,23,40163
6998,30,23,24571
11698,145,25,23073
13998,145,25,27710
16798,145,18,29314
11998,145,25,15290
13498,145,25,16493
8498,30,27,75932
10998,150,28,31688
11998,0,32,13370
12698,0,32,21868
18998,150,18,3880
6798,125,23,48761
9698,125,26,59872
17498,145,26,17999
5998,30,23,80551
8498,125,23,10816
20498,145,18,16494
9598,0,32,32734
13898,145,25,12625
8298,20,29,52370
10298,20,26,55057
13998,145,25,15012
11798,150,22,24261
10598,145,28,18578
11998,0,32,16856
25498,145,15,7746
11998,145,25,23107
13998,145,25,12089
17298,145,18,26306
7498,125,23,55300
11798,145,25,19772
11798,145,25,22640
10698,145,28,23372
6298,30,24,61100
6998,0,32,123256
7698,0,28,65146
10698,150,27,37810
9998,145,24,13853
16498,125,24,54328
15500,145,26,49693
7900,160,19,41843
10998,145,24,36065
7498,0,28,41048
10498,145,28,36674
10998,145,24,35333
14998,145,24,14135
5998,30,23,70069
10420,20,26,30437
17630,145,18,41080
6698,0,32,44712
16998,145,26,30851
6495,30,23,87305
18995,145,16,6878
9498,145,23,104850
6498,30,27,73283
11998,0,32,30542
11498,145,25,22743
9498,200,20,95135
6999,145,25,18514
6950,125,23,43610
7995,30,27,50125
7695,125,23,20709
11795,145,27,52072
5698,30,23,84321
6698,0,28,72528
7998,125,23,34947
7998,145,25,9122
15998,145,23,42910
9498,20,26,57695
6498,0,28,63033
8998,145,23,98604
7798,160,19,57777
10698,30,27,103563
8498,125,23,34282
9798,145,23,63459
6498,125,23,75409
7998,145,25,10100
8798,145,23,80815
15798,145,29,44308
9698,150,27,18963
14000,145,25,19457
13998,145,22,30545
11250,145,26,25160
8326,0,28,41206
6672,30,23,46869
7800,150,25,5140
9000,20,26,30787
12993,145,25,30795
8742,125,22,61597
6477,30,24,66385
20998,150,15,161
10298,0,28,28994
8498,150,23,22708
9000,125,26,83975
18300,145,15,20257
18700,145,23,12128
7800,125,23,47545
8150,145,25,15712
12700,145,26,27840
9300,145,27,18466
7100,145,25,28566
9798,0,32,63992
9498,145,19,25347
8998,125,23,22022
10798,0,32,36860
10498,30,27,57700
8998,20,27,58722
9998,125,25,105008
17870,145,19,10651
16640,145,26,12656
20991,145,21,1464
9491,145,27,31015
10700,145,26,45565
10550,145,24,7601
11000,145,26,19018
18391,145,21,20633
9157,0,28,23062
10930,20,26,10414
8000,145,23,33637
10950,145,28,23199
5200,0,28,81273
13400,145,26,13311
8000,145,25,10194
9350,145,27,16460
8500,145,23,28666
11500,20,29,116009
9650,145,28,46933
16750,145,23,52913
16998,145,26,25569
7498,125,23,54124
10498,150,24,12318
9698,125,23,34068
13998,145,23,45264
10498,0,28,35607
8798,0,32,76568
11698,0,32,28566
12998,145,25,24861
13998,150,25,27164
12500,145,28,53261
11700,20,26,29811
12500,145,28,53540
9500,145,27,35175
10000,145,28,35024
11450,145,26,37528
7500,30,25,16547
11450,20,26,39463
18000,145,24,8
7700,145,25,11365
11800,145,26,27861
7850,30,23,31881
18750,145,23,9909
9750,145,27,15411
12500,145,23,16034
11500,145,28,25899
10800,145,26,58017
11998,30,27,46653
17750,145,15,17357
17500,145,16,22779
13750,145,23,25790
10400,145,26,21364
15995,145,27,36844
9650,145,23,101948
8600,0,28,52155
13500,20,29,58963
11500,145,26,16175
11650,145,26,12360
7750,145,25,36209
9000,0,28,24748
11298,0,28,19000
5698,20,26,113853
5298,0,32,111564
6498,150,20,65164
13500,145,27,15086
11500,145,28,37399
10000,145,20,6299
12598,150,25,35666
9498,0,32,48121
16498,150,26,23569
10998,145,28,41267
9498,125,23,13763
10498,0,32,28461
12998,160,19,10168
16498,145,22,9584
18498,145,27,9811
10498,0,32,41890
8500,150,23,44096
11500,145,33,19410
11450,145,28,24494
12850,145,23,30940
25500,145,15,4846
25500,145,15,10200
9000,0,32,58846
12000,125,26,46149
10250,125,22,37427
9000,145,33,31976
9998,0,32,46286
12198,30,27,41788
12298,125,26,54314
6498,30,24,55915
14000,150,18,69202
7000,0,38,104607
4950,30,25,40716
10500,145,32,61026
13650,145,25,21702
10850,145,28,20835
9650,145,27,24522
9950,145,27,15529
10000,145,28,44809
6776,20,29,57115
7480,0,32,100737
8310,125,23,30062
7625,145,25,21572
4430,30,25,46483
8498,125,23,32906
12698,145,23,2205
13998,145,25,19351
11498,20,26,24748
7698,20,26,69783
9000,145,27,15437
9000,145,27,17614
10450,145,27,14484
10450,145,28,32187
10000,145,28,14375
10000,145,28,31376
10650,145,28,18429
15000,145,23,29699
10000,145,28,19422
8850,125,23,27219
10998,160,19,21409
17998,145,27,4307
8698,30,25,40100
7698,30,23,13658
9998,0,28,39014
13998,150,27,34619
7998,165,19,46742
11298,0,32,23503
15298,145,21,20566
19298,145,17,18107
13495,145,38,22531
13995,125,26,93989
14995,125,24,108338
14995,150,24,81376
16995,150,19,7083
18495,150,23,15203
15495,125,24,116177
10495,145,24,55463
38015,145,32,317
13995,145,23,88708
16998,145,23,5975
8698,0,28,15665
10498,150,24,13137
7298,125,23,53670
9498,125,26,100152
14498,20,29,60971
10998,145,29,22351
10798,30,27,31089
16498,150,18,41191
16998,20,29,40441
14998,145,24,20530
12498,30,25,27949
15995,20,29,36930
7995,125,23,29370
16700,200,19,36538
7430,125,23,19908
6999,125,23,44136
5999,20,25,67069
9999,20,29,73983
7713,125,23,19908
9247,20,29,42163
13190,145,26,50181
11810,145,22,27890
10600,145,20,3507
10440,145,20,2453
10460,145,20,1868
10260,0,28,33677
9650,20,29,68527
15891,145,19,34844
13691,145,33,14573
9870,145,26,38140
9020,0,28,47532
12320,145,23,46455
8990,0,28,12669
11991,0,32,37731
5491,30,23,96977
9210,0,28,46220
10491,0,28,32155
20627,145,22,12461
10850,145,25,23607
7500,145,25,14289
9790,0,32,54727
7450,145,25,18813
3691,30,25,54291
10980,20,29,45903
14021,145,21,8834
16700,145,26,12443
12790,145,21,51433
8095,145,25,12767
18797,145,18,9569
8000,0,32,73331
8640,125,23,28617
8830,30,24,51697
6250,0,28,65896
7495,125,23,46357
13498,145,32,30165
17998,145,19,66416
10991,150,26,41680
12991,150,25,25143
12991,150,25,21734
15980,150,24,4006
13991,125,25,44244
9791,145,22,45062
11291,125,22,20691
7830,0,28,55630
7180,0,32,71749
18491,200,18,29810
10760,145,25,20678
11030,145,28,32623
10870,145,28,31757
11290,20,26,15978
9221,20,29,95421
9791,20,27,60448
10291,20,29,20619
8991,30,27,79876
6691,30,23,53737
17491,150,23,32187
15298,200,20,100592
10998,145,32,51423
7998,125,23,33437
12498,160,19,22402
8498,0,38,63200
9498,200,18,56332
16998,165,19,30235
16495,145,18,54347
14160,145,25,16269
14300,145,25,15632
6700,30,26,100495
10120,145,27,5898
8800,0,28,75204
7580,0,28,52072
7860,145,20,37142
11880,145,26,3919
7191,20,29,102644
6250,30,23,62613
7720,30,26,89185
19700,145,18,12910
7691,0,28,39839
7820,0,32,62764
10491,145,28,21446
20991,145,21,9254
18691,145,16,243
7350,145,25,26966
14030,145,23,12875
9981,145,27,7079
9998,0,28,32388
9291,145,20,6745
8770,125,23,28926
6991,125,23,46690
9290,145,28,32647
12990,145,25,19013
10490,145,25,35961
11176,145,27,51560
11150,150,26,26890
11150,145,28,15963
11190,145,32,61815
11410,30,27,76521
18930,145,18,22474
9607,145,27,10615
14790,145,21,23315
9691,145,18,19121
19970,145,21,3339
7180,125,23,44289
10060,145,24,42855
9880,145,28,33571
10290,145,25,23651
12880,145,25,14513
10000,150,22,31194
8000,150,25,19985
10650,150,26,27272
11650,150,22,35959
13500,150,23,28410
9550,145,19,35069
14700,145,23,16093
6800,30,25,50873
11000,145,28,17384
11000,145,28,14484
13860,145,25,16375
15050,145,25,18602
15470,145,26,14040
15590,145,26,17880
15020,145,26,32670
16370,145,21,8378
17250,145,27,28163
15480,200,18,41672
7960,145,28,55715
15860,145,32,20685
13000,145,26,18078
7020,0,28,42559
16700,200,18,19261
8791,145,20,28097
12480,160,19,24597
13491,145,29,36976
12991,30,27,34099
9210,145,22,28312
10498,145,28,18380
6998,125,23,48897
14498,145,34,21272
9998,20,27,37575
16998,145,26,25119
13998,150,24,15289
10500,150,28,29396
16500,145,25,13947
14280,145,23,24673
8698,145,23,100804
15998,150,22,9408
7498,125,23,40431
11298,20,27,9328
16998,145,27,10688
14998,20,29,14571
7698,0,28,41614
9698,0,32,23670
8998,20,29,41711
8698,0,28,26318
11298,0,32,28212
19698,145,23,153
9998,145,28,27785
10200,145,27,18898
16998,200,18,25778
14998,160,21,124140
8640,125,23,35024
8367,30,24,58419
17530,145,20,12308
16920,145,26,7397
13691,145,25,20283
11750,145,26,13770
12250,145,28,12875
8200,145,25,12257
10500,0,32,45454
8500,125,23,30764
11000,145,28,13628
10400,145,28,29797
14250,150,26,38685
13000,150,27,68683
8700,0,28,33450
17498,150,23,14162
17998,150,24,54772
9998,0,28,22547
9698,20,29,100910
14498,235,16,36416
11498,145,25,15969
9698,30,24,21692
10498,145,26,28405
7498,30,24,82723
16798,145,22,2754
7998,0,32,111547
11698,145,26,13053
5498,20,29,108040
8998,125,23,22833
14998,145,29,63075
5998,30,23,54444
10498,125,22,33980
15498,145,18,61137
9698,0,33,47820
8298,0,32,79136
16298,125,26,41236
7998,0,35,47204
7998,0,28,42318
8498,125,23,41927
10298,145,28,28440
15998,145,19,31981
13498,145,23,20109
5998,30,23,45889
7298,0,33,53952
14998,145,27,25278
16937,145,32,30016
16491,145,32,29792
19000,145,26,11465
19050,145,26,7463
12998,145,27,26929
10998,145,24,40505
8498,145,23,32594
10998,0,28,17428
13298,150,26,24655
14798,150,21,20677
12998,145,23,61116
8798,0,28,42722
11698,20,27,16406
16040,145,25,3043
7591,125,23,44331
11691,145,26,21177
17050,145,32,6262
9998,20,27,53517
18998,145,29,18248
7998,20,29,74046
5298,30,23,85215
8698,0,28,62491
8798,240,17,102871
15298,20,29,26522
11998,0,32,41762
20698,150,20,27972
17998,150,28,20252
10698,150,24,27391
10710,145,23,20719
11591,20,26,12250
7570,145,25,23503
11460,145,26,34990
8940,145,27,10155
12460,145,23,36865
10620,0,32,29588
6680,0,32,62962
11140,30,24,24615
12720,145,23,53918
16298,150,21,22622
19680,145,20,24528
8591,145,21,21435
14490,145,25,10274
14530,145,25,7078
14590,145,25,5871
6570,30,23,53150
8990,0,32,56324
12240,145,20,25009
22250,145,21,12426
8791,145,27,55711
8080,0,32,93171
8240,20,27,48525
14891,145,32,22716
13120,145,21,2136
17390,145,26,5459
19070,145,26,6703
17380,145,26,6521
17490,145,26,1519
8559,0,32,89481
6391,30,23,70656
10917,145,23,13395
16800,145,22,7380
19491,145,20,5011
19557,145,21,39060
8291,145,23,37144
14691,145,25,26335
9790,145,18,8993
16090,145,27,22042
10210,0,28,8282
8770,145,27,11813
12460,145,23,9268
13210,145,27,17614
11591,145,26,17791
8690,145,21,20432
15990,145,23,3764
7491,30,25,29103
10291,145,28,13422
10700,145,26,36611
9998,30,27,143114
10100,145,28,17297
23965,150,16,5615
9891,150,26,38729
8191,150,25,12876
20991,150,21,1434
18991,150,26,1456
13991,150,25,30375
7891,150,25,19568
11200,150,28,18588
9491,0,33,97719
20156,145,19,7450
12000,145,32,30500
13838,200,18,42166
21948,145,13,43306
21228,145,13,35465
16591,145,26,4688
16491,145,26,1445
18420,145,24,10427
17900,145,25,15295
17350,145,26,7305
17401,145,20,38616
9991,0,32,45626
15870,145,22,54951
16900,145,24,55223
6590,125,23,41420
8298,30,24,63781
8798,0,32,69364
7298,125,23,50512
8498,0,28,42287
14070,145,20,21092
10300,20,26,33984
10191,145,28,30687
18520,145,18,19244
8330,145,25,18557
8891,0,32,32551
16150,145,21,3141
17520,145,26,3198
17000,145,34,7918
17520,145,26,8047
17520,145,26,5172
6791,125,23,64705
9827,125,26,94689
7698,0,28,37942
14998,30,27,24766
11998,20,27,14769
19750,145,21,177
15750,145,23,84
9400,125,23,47096
16400,145,26,13943
23200,145,16,3246
